,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tphL,tplH,energy,temperature,finLength,finHeight
137,0.8013,0.2451,1e-15,0.6,1,2.82017e-11,1.442804e-11,-5.638547e-15,-25.0,2.1e-08,3.2e-08
138,-1.3209,0.8362,1e-15,0.6,1,2.639387e-11,1.110936e-11,-5.605164e-15,-25.0,2.1e-08,3.2e-08
139,-2.4502,-1.2897,1e-15,0.6,1,3.892276e-11,9.627871e-12,-5.609332e-15,-25.0,2.1e-08,3.2e-08
140,0.0,0.0,1e-15,0.6,2,1.611284e-11,8.324341e-12,-5.635172e-15,50.0,2.1e-08,3.2e-08
141,-0.8014,-0.8294,1e-15,0.6,2,1.961893e-11,7.445764e-12,-5.652013e-15,50.0,2.1e-08,3.2e-08
142,-0.2677,0.215,1e-15,0.6,2,1.566692e-11,8.022508e-12,-5.638903e-15,50.0,2.1e-08,3.2e-08
143,1.6757,0.8946,1e-15,0.6,2,1.596669e-11,1.081517e-11,-5.77092e-15,50.0,2.1e-08,3.2e-08
144,0.2014,1.0447,1e-15,0.6,2,1.439024e-11,8.566064e-12,-5.612462e-15,50.0,2.1e-08,3.2e-08
145,-1.7987,2.7742,1e-15,0.6,2,1.161453e-11,6.628387e-12,-5.73813e-15,50.0,2.1e-08,3.2e-08
146,0.656,-1.2719,1e-15,0.6,2,2.147716e-11,9.151992e-12,-5.591465e-15,50.0,2.1e-08,3.2e-08
147,-0.4937,0.4482,1e-15,0.6,2,1.498286e-11,7.778092e-12,-5.591871e-15,50.0,2.1e-08,3.2e-08
148,0.3209,1.4379,1e-15,0.6,2,1.369324e-11,8.71449e-12,-5.592892e-15,50.0,2.1e-08,3.2e-08
149,-0.5189,-0.378,1e-15,0.6,2,1.865111e-11,7.748482e-12,-5.58383e-15,50.0,2.1e-08,3.2e-08
150,0.5518,0.3415,1e-15,0.6,2,1.529769e-11,9.014401e-12,-5.588362e-15,50.0,2.1e-08,3.2e-08
151,0.29,-0.1841,1e-15,0.6,2,1.671387e-11,8.673662e-12,-5.560077e-15,50.0,2.1e-08,3.2e-08
152,0.8485,-0.7446,1e-15,0.6,2,1.977744e-11,9.427841e-12,-5.655297e-15,50.0,2.1e-08,3.2e-08
153,-1.2438,0.6697,1e-15,0.6,2,1.447123e-11,7.001532e-12,-5.560614e-15,50.0,2.1e-08,3.2e-08
154,0.6131,-1.1911,1e-15,0.6,2,2.112329e-11,9.093298e-12,-5.595345e-15,50.0,2.1e-08,3.2e-08
155,0.3824,0.9694,1e-15,0.6,2,1.46167e-11,8.792627e-12,-5.569831e-15,50.0,2.1e-08,3.2e-08
156,-1.8849,0.6073,1e-15,0.6,2,1.660306e-11,6.555176e-12,-5.602204e-15,50.0,2.1e-08,3.2e-08
157,0.8013,0.2451,1e-15,0.6,2,1.580968e-11,9.361719e-12,-5.643144e-15,50.0,2.1e-08,3.2e-08
158,-1.3209,0.8362,1e-15,0.6,2,1.499945e-11,6.930795e-12,-5.567163e-15,50.0,2.1e-08,3.2e-08
159,-2.4502,-1.2897,1e-15,0.6,2,2.160885e-11,6.098775e-12,-5.673641e-15,50.0,2.1e-08,3.2e-08
160,0.0,0.0,1e-15,0.6,2,1.836644e-11,8.810848e-12,-5.589239e-15,100.0,2.1e-08,3.2e-08
161,-0.8014,-0.8294,1e-15,0.6,2,2.098911e-11,7.874688e-12,-5.869451e-15,100.0,2.1e-08,3.2e-08
162,-0.2677,0.215,1e-15,0.6,2,1.635418e-11,8.481473e-12,-5.639119e-15,100.0,2.1e-08,3.2e-08
163,1.6757,0.8946,1e-15,0.6,2,1.480138e-11,1.155876e-11,-5.571688e-15,100.0,2.1e-08,3.2e-08
164,0.2014,1.0447,1e-15,0.6,2,1.434911e-11,9.076767e-12,-5.567427e-15,100.0,2.1e-08,3.2e-08
165,-1.7987,2.7742,1e-15,0.6,2,1.212229e-11,6.883724e-12,-5.670431e-15,100.0,2.1e-08,3.2e-08
166,0.656,-1.2719,1e-15,0.6,2,2.172803e-11,9.721312e-12,-5.583244e-15,100.0,2.1e-08,3.2e-08
167,-0.4937,0.4482,1e-15,0.6,2,1.579028e-11,8.219761e-12,-5.641632e-15,100.0,2.1e-08,3.2e-08
168,0.3209,1.4379,1e-15,0.6,2,1.386706e-11,9.240325e-12,-5.582607e-15,100.0,2.1e-08,3.2e-08
169,-0.5189,-0.378,1e-15,0.6,2,1.93204e-11,8.188284e-12,-5.641065e-15,100.0,2.1e-08,3.2e-08
170,0.5518,0.3415,1e-15,0.6,2,1.653726e-11,9.569821e-12,-5.641348e-15,100.0,2.1e-08,3.2e-08
171,0.29,-0.1841,1e-15,0.6,2,1.90181e-11,9.194799e-12,-5.606172e-15,100.0,2.1e-08,3.2e-08
172,0.8485,-0.7446,1e-15,0.6,2,1.998387e-11,1.002525e-11,-5.861538e-15,100.0,2.1e-08,3.2e-08
173,-1.2438,0.6697,1e-15,0.6,2,1.719955e-11,7.408005e-12,-5.564774e-15,100.0,2.1e-08,3.2e-08
174,0.6131,-1.1911,1e-15,0.6,2,2.20201e-11,9.656652e-12,-5.596475e-15,100.0,2.1e-08,3.2e-08
175,0.3824,0.9694,1e-15,0.6,2,1.480854e-11,9.325965e-12,-5.58493e-15,100.0,2.1e-08,3.2e-08
176,-1.8849,0.6073,1e-15,0.6,2,1.53125e-11,6.887605e-12,-5.684265e-15,100.0,2.1e-08,3.2e-08
177,0.8013,0.2451,1e-15,0.6,2,1.81491e-11,9.952365e-12,-5.548587e-15,100.0,2.1e-08,3.2e-08
178,-1.3209,0.8362,1e-15,0.6,2,1.572158e-11,7.326803e-12,-5.667435e-15,100.0,2.1e-08,3.2e-08
179,-2.4502,-1.2897,1e-15,0.6,2,2.238558e-11,6.416332e-12,-5.635572e-15,100.0,2.1e-08,3.2e-08
180,0.0,0.0,1e-15,0.6,2,1.878387e-11,9.092638e-12,-5.556105e-15,125.0,2.1e-08,3.2e-08
181,-0.8014,-0.8294,1e-15,0.6,2,2.103398e-11,8.114104e-12,-5.914529e-15,125.0,2.1e-08,3.2e-08
