,1,2,load,Vin,number_fin,index,temp,montecarlo_iteration,tplha,tphla,tplhb,tphlb,total_power,iint,temper,alter#
10995,4.327368287,4.944578681,18f,0.7,2,36,25,6,8.27174e-11,1.38391e-10,8.32218e-11,1.38859e-10,-3.62587e-07,-2.58991e-14,25,1
10996,4.407029602,4.828899174,18f,0.7,2,37,25,7,1.04663e-10,1.77069e-10,1.0527e-10,1.77266e-10,-3.56835e-07,-2.54882e-14,25,1
10997,4.346317455,4.844399261,18f,0.7,2,38,25,8,1.00692e-10,1.45796e-10,1.01336e-10,1.45935e-10,-3.56942e-07,-2.54959e-14,25,1
10998,4.486196606,4.846298129,18f,0.7,2,39,25,9,1.00097e-10,2.47957e-10,1.00672e-10,2.48313e-10,-3.56686e-07,-2.54776e-14,25,1
10999,4.321151336000001,4.765845872,18f,0.7,2,40,25,10,1.26891e-10,1.35945e-10,1.27683e-10,1.36416e-10,-3.5681e-07,-2.54865e-14,25,1
11000,4.370066928,4.852864388,18f,0.7,2,41,50,1,1.01885e-10,1.59731e-10,1.02473e-10,1.59673e-10,-3.57272e-07,-2.55194e-14,50,1
11001,4.370806412,4.873612049,18f,0.7,2,42,50,2,9.72857e-11,1.60023e-10,9.78492e-11,1.60063e-10,-3.58066e-07,-2.55761e-14,50,1
11002,4.333498878,4.850896718,18f,0.7,2,43,50,3,1.02422e-10,1.43572e-10,1.03039e-10,1.44082e-10,-3.57552e-07,-2.55394e-14,50,1
11003,4.407236791,4.856645244,18f,0.7,2,44,50,4,1.00896e-10,1.80341e-10,1.01499e-10,1.80556e-10,-3.57473e-07,-2.55338e-14,50,1
11004,4.387795215,4.770993196,18f,0.7,2,45,50,5,1.27829e-10,1.68842e-10,1.28589e-10,1.68976e-10,-3.56696e-07,-2.54783e-14,50,1
11005,4.327368287,4.944578681,18f,0.7,2,46,50,6,8.54397e-11,1.41385e-10,8.59412e-11,1.41884e-10,-3.71109e-07,-2.65078e-14,50,1
11006,4.407029602,4.828899174,18f,0.7,2,47,50,7,1.07883e-10,1.80173e-10,1.08522e-10,1.80386e-10,-3.56909e-07,-2.54935e-14,50,1
11007,4.346317455,4.844399261,18f,0.7,2,48,50,8,1.03878e-10,1.48801e-10,1.04528e-10,1.48948e-10,-3.57478e-07,-2.55341e-14,50,1
11008,4.486196606,4.846298129,18f,0.7,2,49,50,9,1.0341e-10,2.50501e-10,1.03874e-10,2.50847e-10,-3.56886e-07,-2.54919e-14,50,1
11009,4.321151336000001,4.765845872,18f,0.7,2,50,50,10,1.30162e-10,1.38883e-10,1.30946e-10,1.39315e-10,-3.56911e-07,-2.54937e-14,50,1
11010,4.370066928,4.852864388,18f,0.7,2,51,75,1,1.04631e-10,1.62557e-10,1.05291e-10,1.62542e-10,-3.58487e-07,-2.56062e-14,75,1
11011,4.370806412,4.873612049,18f,0.7,2,52,75,2,1.00022e-10,1.6296e-10,1.00671e-10,1.62939e-10,-3.59984e-07,-2.57131e-14,75,1
11012,4.333498878,4.850896718,18f,0.7,2,53,75,3,1.05095e-10,1.46366e-10,1.05746e-10,1.46887e-10,-3.58675e-07,-2.56197e-14,75,1
11013,4.407236791,4.856645244,18f,0.7,2,54,75,4,1.0367e-10,1.83146e-10,1.0428e-10,1.83773e-10,-3.58555e-07,-2.56111e-14,75,1
11014,4.387795215,4.770993196,18f,0.7,2,55,75,5,1.30638e-10,1.71684e-10,1.31409e-10,1.71794e-10,-3.5674e-07,-2.54814e-14,75,1
11015,4.327368287,4.944578681,18f,0.7,2,56,75,6,8.78295e-11,1.44241e-10,8.83479e-11,1.44767e-10,-3.87888e-07,-2.77063e-14,75,1
11016,4.407029602,4.828899174,18f,0.7,2,57,75,7,1.1074e-10,1.82973e-10,1.11382e-10,1.83597e-10,-3.57358e-07,-2.55256e-14,75,1
11017,4.346317455,4.844399261,18f,0.7,2,58,75,8,1.06728e-10,1.51613e-10,1.07394e-10,1.51761e-10,-3.58266e-07,-2.55904e-14,75,1
11018,4.486196606,4.846298129,18f,0.7,2,59,75,9,1.06139e-10,2.525e-10,1.06704e-10,2.5287e-10,-3.57775e-07,-2.55554e-14,75,1
11019,4.321151336000001,4.765845872,18f,0.7,2,60,75,10,1.32882e-10,1.41647e-10,1.33702e-10,1.42032e-10,-3.57356e-07,-2.55255e-14,75,1
11020,4.370066928,4.852864388,18f,0.7,2,61,90,1,1.06122e-10,1.64158e-10,1.06776e-10,1.64148e-10,-3.59796e-07,-2.56997e-14,90,1
11021,4.370806412,4.873612049,18f,0.7,2,62,90,2,1.01436e-10,1.64567e-10,1.02097e-10,1.6455e-10,-3.62377e-07,-2.58841e-14,90,1
11022,4.333498878,4.850896718,18f,0.7,2,63,90,3,1.06626e-10,1.47966e-10,1.07303e-10,1.48469e-10,-3.60155e-07,-2.57254e-14,90,1
11023,4.407236791,4.856645244,18f,0.7,2,64,90,4,1.05161e-10,1.84706e-10,1.05776e-10,1.85339e-10,-3.59834e-07,-2.57024e-14,90,1
11024,4.387795215,4.770993196,18f,0.7,2,65,90,5,1.32109e-10,1.73126e-10,1.32883e-10,1.73389e-10,-3.56983e-07,-2.54988e-14,90,1
11025,4.327368287,4.944578681,18f,0.7,2,66,90,6,8.90268e-11,1.4591e-10,8.95777e-11,1.46352e-10,-4.04574e-07,-2.88981e-14,90,1
11026,4.407029602,4.828899174,18f,0.7,2,67,90,7,1.12269e-10,1.84528e-10,1.1292e-10,1.85156e-10,-3.58082e-07,-2.55773e-14,90,1
11027,4.346317455,4.844399261,18f,0.7,2,68,90,8,1.08342e-10,1.53218e-10,1.0898e-10,1.53362e-10,-3.59429e-07,-2.56735e-14,90,1
11028,4.486196606,4.846298129,18f,0.7,2,69,90,9,1.07628e-10,2.5349e-10,1.08199e-10,2.53928e-10,-3.589e-07,-2.56357e-14,90,1
11029,4.321151336000001,4.765845872,18f,0.7,2,70,90,10,1.3433e-10,1.43232e-10,1.35161e-10,1.43587e-10,-3.57742e-07,-2.5553e-14,90,1
11030,4.370066928,4.852864388,18f,0.7,2,71,100,1,1.07044e-10,1.65191e-10,1.07675e-10,1.65187e-10,-3.61009e-07,-2.57864e-14,100,1
11031,4.370806412,4.873612049,18f,0.7,2,72,100,2,1.02334e-10,1.65605e-10,1.02938e-10,1.65595e-10,-3.64591e-07,-2.60422e-14,100,1
11032,4.333498878,4.850896718,18f,0.7,2,73,100,3,1.07658e-10,1.49003e-10,1.08269e-10,1.49488e-10,-3.61376e-07,-2.58126e-14,100,1
11033,4.407236791,4.856645244,18f,0.7,2,74,100,4,1.06078e-10,1.85702e-10,1.06697e-10,1.86331e-10,-3.61321e-07,-2.58087e-14,100,1
11034,4.387795215,4.770993196,18f,0.7,2,75,100,5,1.32999e-10,1.74167e-10,1.33776e-10,1.74414e-10,-3.57141e-07,-2.551e-14,100,1
11035,4.327368287,4.944578681,18f,0.7,2,76,100,6,8.97671e-11,1.47013e-10,9.03209e-11,1.47471e-10,-4.19053e-07,-2.99324e-14,100,1
11036,4.407029602,4.828899174,18f,0.7,2,77,100,7,1.13207e-10,1.85518e-10,1.13863e-10,1.86143e-10,-3.5872e-07,-2.56229e-14,100,1
11037,4.346317455,4.844399261,18f,0.7,2,78,100,8,1.09243e-10,1.54257e-10,1.09883e-10,1.54397e-10,-3.60412e-07,-2.57437e-14,100,1
11038,4.486196606,4.846298129,18f,0.7,2,79,100,9,1.08546e-10,2.54076e-10,1.0912e-10,2.54565e-10,-3.5972e-07,-2.56943e-14,100,1
11039,4.321151336000001,4.765845872,18f,0.7,2,80,100,10,1.35209e-10,1.44259e-10,1.36046e-10,1.44592e-10,-3.58005e-07,-2.55718e-14,100,1
11040,4.370066928,4.852864388,18f,0.7,3,1,-15,1,6.2267e-11,1.01222e-10,6.28375e-11,1.01434e-10,-3.58586e-07,-2.56133e-14,-15,1
11041,4.370806412,4.873612049,18f,0.7,3,2,-15,2,5.93699e-11,1.01483e-10,5.99252e-11,1.01695e-10,-3.58674e-07,-2.56196e-14,-15,1
11042,4.333498878,4.850896718,18f,0.7,3,3,-15,3,6.26525e-11,9.09598e-11,6.31944e-11,9.10376e-11,-3.58747e-07,-2.56248e-14,-15,1
11043,4.407236791,4.856645244,18f,0.7,3,4,-15,4,6.17267e-11,1.15074e-10,6.22471e-11,1.15385e-10,-3.58694e-07,-2.5621e-14,-15,1
11044,4.387795215,4.770993196,18f,0.7,3,5,-15,5,7.94361e-11,1.07264e-10,8.0147e-11,1.07493e-10,-3.58471e-07,-2.56051e-14,-15,1
11045,4.327368287,4.944578681,18f,0.7,3,6,-15,6,5.21638e-11,8.95486e-11,5.26281e-11,8.96425e-11,-3.60395e-07,-2.57425e-14,-15,1
11046,4.407029602,4.828899174,18f,0.7,3,7,-15,7,6.62478e-11,1.14951e-10,6.68009e-11,1.15262e-10,-3.58496e-07,-2.56068e-14,-15,1
11047,4.346317455,4.844399261,18f,0.7,3,8,-15,8,6.36055e-11,9.43062e-11,6.42088e-11,9.44183e-11,-3.58729e-07,-2.56235e-14,-15,1
11048,4.486196606,4.846298129,18f,0.7,3,9,-15,9,6.32054e-11,1.62723e-10,6.36374e-11,1.62794e-10,-3.58081e-07,-2.55772e-14,-15,1
11049,4.321151336000001,4.765845872,18f,0.7,3,10,-15,10,8.09857e-11,8.78786e-11,8.17375e-11,8.8004e-11,-3.58786e-07,-2.56275e-14,-15,1
11050,4.370066928,4.852864388,18f,0.7,3,11,5,1,6.42822e-11,1.03137e-10,6.48832e-11,1.0338e-10,-3.58683e-07,-2.56202e-14,5,1
11051,4.370806412,4.873612049,18f,0.7,3,12,5,2,6.13256e-11,1.03401e-10,6.18952e-11,1.03644e-10,-3.58857e-07,-2.56327e-14,5,1
11052,4.333498878,4.850896718,18f,0.7,3,13,5,3,6.4623e-11,9.28039e-11,6.52196e-11,9.28562e-11,-3.59062e-07,-2.56473e-14,5,1
11053,4.407236791,4.856645244,18f,0.7,3,14,5,4,6.36858e-11,1.17097e-10,6.42426e-11,1.174e-10,-3.58811e-07,-2.56293e-14,5,1
11054,4.387795215,4.770993196,18f,0.7,3,15,5,5,8.16412e-11,1.09233e-10,8.23687e-11,1.095e-10,-3.58507e-07,-2.56076e-14,5,1
11055,4.327368287,4.944578681,18f,0.7,3,16,5,6,5.38525e-11,9.13405e-11,5.43626e-11,9.1456e-11,-3.62832e-07,-2.59166e-14,5,1
11056,4.407029602,4.828899174,18f,0.7,3,17,5,7,6.82649e-11,1.16974e-10,6.88613e-11,1.17276e-10,-3.58549e-07,-2.56107e-14,5,1
11057,4.346317455,4.844399261,18f,0.7,3,18,5,8,6.564e-11,9.60406e-11,6.62429e-11,9.62804e-11,-3.58747e-07,-2.56248e-14,5,1
11058,4.486196606,4.846298129,18f,0.7,3,19,5,9,6.52237e-11,1.64745e-10,6.57177e-11,1.64821e-10,-3.58075e-07,-2.55768e-14,5,1
11059,4.321151336000001,4.765845872,18f,0.7,3,20,5,10,8.32121e-11,8.9648e-11,8.3976e-11,8.97818e-11,-3.58824e-07,-2.56303e-14,5,1
11060,4.370066928,4.852864388,18f,0.7,3,21,15,1,6.52387e-11,1.04043e-10,6.583e-11,1.04302e-10,-3.59042e-07,-2.56459e-14,15,1
11061,4.370806412,4.873612049,18f,0.7,3,22,15,2,6.22524e-11,1.04308e-10,6.28204e-11,1.04569e-10,-3.58976e-07,-2.56411e-14,15,1
11062,4.333498878,4.850896718,18f,0.7,3,23,15,3,6.55809e-11,9.36678e-11,6.61842e-11,9.37284e-11,-3.59075e-07,-2.56482e-14,15,1
11063,4.407236791,4.856645244,18f,0.7,3,24,15,4,6.46407e-11,1.18041e-10,6.52039e-11,1.18343e-10,-3.58755e-07,-2.56254e-14,15,1
11064,4.387795215,4.770993196,18f,0.7,3,25,15,5,8.25918e-11,1.10159e-10,8.33278e-11,1.10444e-10,-3.58522e-07,-2.56087e-14,15,1
11065,4.327368287,4.944578681,18f,0.7,3,26,15,6,5.46799e-11,9.22009e-11,5.51955e-11,9.23001e-11,-3.64791e-07,-2.60565e-14,15,1
11066,4.407029602,4.828899174,18f,0.7,3,27,15,7,6.92534e-11,1.17917e-10,6.98571e-11,1.18218e-10,-3.58592e-07,-2.56137e-14,15,1
11067,4.346317455,4.844399261,18f,0.7,3,28,15,8,6.6608e-11,9.6932e-11,6.72169e-11,9.71671e-11,-3.58962e-07,-2.56401e-14,15,1
11068,4.486196606,4.846298129,18f,0.7,3,29,15,9,6.61863e-11,1.65626e-10,6.66823e-11,1.65704e-10,-3.58438e-07,-2.56027e-14,15,1
11069,4.321151336000001,4.765845872,18f,0.7,3,30,15,10,8.42091e-11,9.04957e-11,8.49814e-11,9.06331e-11,-3.58858e-07,-2.56327e-14,15,1
11070,4.370066928,4.852864388,18f,0.7,3,31,25,1,6.61574e-11,1.04932e-10,6.67551e-11,1.05285e-10,-3.58817e-07,-2.56298e-14,25,1
11071,4.370806412,4.873612049,18f,0.7,3,32,25,2,6.3146e-11,1.05197e-10,6.37167e-11,1.05552e-10,-3.59163e-07,-2.56545e-14,25,1
11072,4.333498878,4.850896718,18f,0.7,3,33,25,3,6.64998e-11,9.45081e-11,6.71095e-11,9.45737e-11,-3.59203e-07,-2.56574e-14,25,1
