,1,2,LoadCap,vdd,number_fin,index,temp,montecarlo_iteration,tphl,tplh,total_power,iint,temper,alter#
65,4.327368287,4.944578681,1f,0.6,1,66,90,6,1.17332e-11,1.32243e-11,-1.02057e-08,-6.8038e-16,90,1
66,4.407029602,4.828899174,1f,0.6,1,67,90,7,1.41618e-11,1.86367e-11,-9.64831e-09,-6.43221e-16,90,1
67,4.346317455,4.844399261,1f,0.6,1,68,90,8,1.22151e-11,1.76722e-11,-9.85054e-09,-6.56702e-16,90,1
68,4.486196606,4.846298129,1f,0.6,1,69,90,9,1.80346e-11,1.7519e-11,-9.60746e-09,-6.40497e-16,90,1
69,4.321151336000001,4.765845872,1f,0.6,1,70,90,10,1.15144e-11,2.39682e-11,-1.01061e-08,-6.7374e-16,90,1
70,4.370066928,4.852864388,1f,0.6,1,71,100,1,1.29514e-11,1.72437e-11,-9.78749e-09,-6.52499e-16,100,1
71,4.370806412,4.873612049,1f,0.6,1,72,100,2,1.29817e-11,1.61566e-11,-9.77029e-09,-6.51353e-16,100,1
72,4.333498878,4.850896718,1f,0.6,1,73,100,3,1.18889e-11,1.73615e-11,-1.01004e-08,-6.73361e-16,100,1
73,4.407236791,4.856645244,1f,0.6,1,74,100,4,1.42185e-11,1.70259e-11,-9.6225e-09,-6.415e-16,100,1
74,4.387795215,4.770993196,1f,0.6,1,75,100,5,1.34943e-11,2.34051e-11,-9.68917e-09,-6.45945e-16,100,1
75,4.327368287,4.944578681,1f,0.6,1,76,100,6,1.1775e-11,1.33049e-11,-1.04348e-08,-6.95655e-16,100,1
76,4.407029602,4.828899174,1f,0.6,1,77,100,7,1.42009e-11,1.86895e-11,-9.6616e-09,-6.44106e-16,100,1
77,4.346317455,4.844399261,1f,0.6,1,78,100,8,1.22532e-11,1.77349e-11,-9.93244e-09,-6.62162e-16,100,1
78,4.486196606,4.846298129,1f,0.6,1,79,100,9,1.80578e-11,1.75816e-11,-9.61014e-09,-6.40676e-16,100,1
79,4.321151336000001,4.765845872,1f,0.6,1,80,100,10,1.15528e-11,2.3942e-11,-1.02837e-08,-6.85579e-16,100,1
80,4.370066928,4.852864388,1f,0.6,2,1,-15,1,8.17135e-12,9.66119e-12,-1.00041e-08,-6.66937e-16,-15,1
81,4.370806412,4.873612049,1f,0.6,2,2,-15,2,8.18818e-12,8.99591e-12,-1.00392e-08,-6.69277e-16,-15,1
82,4.333498878,4.850896718,1f,0.6,2,3,-15,3,7.4904e-12,9.70964e-12,-1.00664e-08,-6.71094e-16,-15,1
83,4.407236791,4.856645244,1f,0.6,2,4,-15,4,8.96829e-12,9.54526e-12,-1.00747e-08,-6.71648e-16,-15,1
84,4.387795215,4.770993196,1f,0.6,2,5,-15,5,8.52297e-12,1.36203e-11,-1.00018e-08,-6.66788e-16,-15,1
85,4.327368287,4.944578681,1f,0.6,2,6,-15,6,7.39215e-12,7.23572e-12,-1.00667e-08,-6.71111e-16,-15,1
86,4.407029602,4.828899174,1f,0.6,2,7,-15,7,8.96241e-12,1.05628e-11,-1.00206e-08,-6.68039e-16,-15,1
87,4.346317455,4.844399261,1f,0.6,2,8,-15,8,7.71813e-12,9.94364e-12,-1.00895e-08,-6.72631e-16,-15,1
88,4.486196606,4.846298129,1f,0.6,2,9,-15,9,1.12859e-11,9.8984e-12,-1.01517e-08,-6.76781e-16,-15,1
89,4.321151336000001,4.765845872,1f,0.6,2,10,-15,10,7.26495e-12,1.39545e-11,-9.99952e-09,-6.66635e-16,-15,1
90,4.370066928,4.852864388,1f,0.6,2,11,5,1,8.22512e-12,9.79743e-12,-1.01151e-08,-6.74339e-16,5,1
91,4.370806412,4.873612049,1f,0.6,2,12,5,2,8.2413e-12,9.13165e-12,-1.00878e-08,-6.72517e-16,5,1
92,4.333498878,4.850896718,1f,0.6,2,13,5,3,7.55799e-12,9.84733e-12,-1.00629e-08,-6.70857e-16,5,1
93,4.407236791,4.856645244,1f,0.6,2,14,5,4,9.02724e-12,9.6807e-12,-1.00207e-08,-6.68046e-16,5,1
94,4.387795215,4.770993196,1f,0.6,2,15,5,5,8.57808e-12,1.37099e-11,-1.00097e-08,-6.67315e-16,5,1
95,4.327368287,4.944578681,1f,0.6,2,16,5,6,7.44709e-12,7.36588e-12,-1.01158e-08,-6.74388e-16,5,1
96,4.407029602,4.828899174,1f,0.6,2,17,5,7,9.01997e-12,1.06951e-11,-1.00386e-08,-6.69238e-16,5,1
97,4.346317455,4.844399261,1f,0.6,2,18,5,8,7.77032e-12,1.00803e-11,-1.00962e-08,-6.73079e-16,5,1
98,4.486196606,4.846298129,1f,0.6,2,19,5,9,1.13426e-11,1.00348e-11,-9.99615e-09,-6.6641e-16,5,1
99,4.321151336000001,4.765845872,1f,0.6,2,20,5,10,7.3159e-12,1.40156e-11,-1.0014e-08,-6.676e-16,5,1
100,4.370066928,4.852864388,1f,0.6,2,21,15,1,8.24913e-12,9.85701e-12,-9.99456e-09,-6.66304e-16,15,1
101,4.370806412,4.873612049,1f,0.6,2,22,15,2,8.26554e-12,9.19198e-12,-1.00946e-08,-6.72973e-16,15,1
102,4.333498878,4.850896718,1f,0.6,2,23,15,3,7.56391e-12,9.90694e-12,-1.0081e-08,-6.72066e-16,15,1
103,4.407236791,4.856645244,1f,0.6,2,24,15,4,9.05285e-12,9.73994e-12,-1.00396e-08,-6.6931e-16,15,1
104,4.387795215,4.770993196,1f,0.6,2,25,15,5,8.60252e-12,1.3733e-11,-9.97346e-09,-6.64897e-16,15,1
105,4.327368287,4.944578681,1f,0.6,2,26,15,6,7.48622e-12,7.42577e-12,-1.01974e-08,-6.7983e-16,15,1
106,4.407029602,4.828899174,1f,0.6,2,27,15,7,9.0452e-12,1.07499e-11,-9.94522e-09,-6.63014e-16,15,1
107,4.346317455,4.844399261,1f,0.6,2,28,15,8,7.79368e-12,1.01397e-11,-1.01075e-08,-6.73833e-16,15,1
108,4.486196606,4.846298129,1f,0.6,2,29,15,9,1.13657e-11,1.00925e-11,-1.00201e-08,-6.68007e-16,15,1
109,4.321151336000001,4.765845872,1f,0.6,2,30,15,10,7.33824e-12,1.40336e-11,-9.99619e-09,-6.66412e-16,15,1
110,4.370066928,4.852864388,1f,0.6,2,31,25,1,8.27667e-12,9.91117e-12,-1.00525e-08,-6.70166e-16,25,1
111,4.370806412,4.873612049,1f,0.6,2,32,25,2,8.29339e-12,9.2475e-12,-1.01037e-08,-6.73579e-16,25,1
