$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
125, 1.147452e-11, 6.590233e-12,-1.777185e-15,   0.,3
126, 1.149931e-11, 6.585238e-12,-1.774061e-15,   0.,3
127, 1.158564e-11, 5.226219e-12,-2.594334e-15,   0.,3
128, 1.267342e-11, 6.217856e-12,-1.877688e-15,   0.,3
129, 1.093590e-11, 5.961532e-12,-2.369278e-15,   0.,3
130, 1.098055e-11, 6.376459e-12,-1.963899e-15,   0.,3
131, 1.086747e-11, 6.189639e-12,-2.133583e-15,   0.,3
132, 1.209557e-11, 6.564806e-12,-1.710456e-15,   0.,3
133, 1.241574e-11, 6.652681e-12,-1.640233e-15,   0.,3
134, 1.074028e-11, 6.926926e-12,-1.810805e-15,   0.,3
135, 1.101872e-11, 6.688444e-12,-1.812806e-15,   0.,3
136, 1.006819e-11, 6.257283e-12,-2.137385e-15,   0.,3
137, 1.221433e-11, 6.101202e-12,-2.020694e-15,   0.,3
138, 1.140185e-11, 6.549563e-12,-1.808530e-15,   0.,3
139, 1.184777e-11, 6.043105e-12,-1.697989e-15,   0.,3
140, 1.172671e-11, 6.572693e-12,-1.554972e-15,   0.,3
141, 1.105088e-11, 6.126524e-12,-2.153257e-15,   0.,3
142, 1.074820e-11, 6.329531e-12,-2.055635e-15,   0.,3
143, 1.098351e-11, 6.262390e-12,-2.043405e-15,   0.,3
144, 1.188030e-11, 6.441123e-12,-1.563726e-15,   0.,3
145, 1.119342e-11, 6.614375e-12,-1.806366e-15,   0.,3
146, 1.133202e-11, 6.783618e-12,-1.726791e-15,   0.,3
147, 1.165994e-11, 6.606452e-12,-1.557703e-15,   0.,3
148, 1.159411e-11, 6.166674e-12,-1.685056e-15,   0.,3
149, 1.131822e-11, 6.921977e-12,-1.689855e-15,   0.,3
150, 1.048773e-11, 6.208363e-12,-1.893486e-15,   0.,3
151, 1.159673e-11, 5.925729e-12,-1.791599e-15,   0.,3
152, 1.129056e-11, 6.799741e-12,-1.728325e-15,   0.,3
153, 1.136986e-11, 6.373530e-12,-1.910968e-15,   0.,3
154, 1.188657e-11, 5.939261e-12,-1.741767e-15,   0.,3
155, 1.119366e-11, 6.159828e-12,-2.093513e-15,   0.,3
156, 1.173683e-11, 6.146234e-12,-1.671417e-15,   0.,3
157, 1.099367e-11, 6.230213e-12,-2.066921e-15,   0.,3
158, 1.232396e-11, 6.067147e-12,-2.036829e-15,   0.,3
159, 1.136668e-11, 6.924057e-12,-1.680771e-15,   0.,3
160, 1.110893e-11, 6.756502e-12,-1.770815e-15,   0.,3
161, 1.101049e-11, 6.377745e-12,-1.957080e-15,   0.,3
162, 1.019932e-11, 5.875081e-12,-2.229239e-15,   0.,3
163, 1.188436e-11, 6.132500e-12,-1.656810e-15,   0.,3
164, 1.111531e-11, 6.652428e-12,-1.806374e-15,   0.,3
165, 1.014028e-11, 6.181401e-12,-2.109255e-15,   0.,3
166, 1.077038e-11, 6.654019e-12,-1.884678e-15,   0.,3
167, 1.093630e-11, 6.293848e-12,-2.030756e-15,   0.,3
168, 1.124063e-11, 6.690976e-12,-1.768776e-15,   0.,3
169, 1.106724e-11, 6.301573e-12,-1.998776e-15,   0.,3
170, 1.110053e-11, 6.708242e-12,-1.788808e-15,   0.,3
171, 1.222923e-11, 6.387000e-12,-1.793099e-15,   0.,3
172, 1.186296e-11, 5.893714e-12,-1.770441e-15,   0.,3
173, 1.125162e-11, 6.242672e-12,-2.011578e-15,   0.,3
174, 1.161461e-11, 5.989072e-12,-1.756778e-15,   0.,3
175, 1.137958e-11, 6.586136e-12,-1.788644e-15,   0.,3
176, 1.137857e-11, 6.488745e-12,-1.842885e-15,   0.,3
177, 1.115997e-11, 6.222871e-12,-2.042761e-15,   0.,3
178, 1.195570e-11, 6.719112e-12,-1.752311e-15,   0.,3
179, 1.111487e-11, 6.358867e-12,-1.947647e-15,   0.,3
180, 1.112813e-11, 6.591541e-12,-1.821066e-15,   0.,3
181, 1.130247e-11, 6.605893e-12,-1.791633e-15,   0.,3
182, 1.094215e-11, 6.489934e-12,-1.908490e-15,   0.,3
183, 1.143930e-11, 5.965855e-12,-2.282957e-15,   0.,3
184, 1.134223e-11, 6.741052e-12,-1.739340e-15,   0.,3
185, 1.082925e-11, 6.751651e-12,-1.834467e-15,   0.,3
186, 1.038402e-11, 5.935984e-12,-2.072766e-15,   0.,3
