 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-1.312432e-15,8.152165e-12,1.565722e-11,-0.9058788,-0.9984826,-0.8138593
-1.312368e-15,8.153583e-12,1.565934e-11,-0.9021071,-0.9945852,-0.8102077
-1.312333e-15,8.15392e-12,1.565948e-11,-0.8983481,-0.9907018,-0.8065677
-1.312219e-15,8.155502e-12,1.566244e-11,-0.8946018,-0.9868322,-0.8029393
-1.311591e-15,8.157517e-12,1.566474e-11,-0.890868,-0.9829762,-0.7993224
-1.311334e-15,8.159674e-12,1.566474e-11,-0.8871466,-0.9791338,-0.7957168
-1.311301e-15,8.159766e-12,1.566618e-11,-0.8834374,-0.9753047,-0.7921223
-1.310886e-15,8.160419e-12,1.566704e-11,-0.8797403,-0.9714888,-0.788539
-1.310589e-15,8.161359e-12,1.566785e-11,-0.8760552,-0.967686,-0.7849666
-1.31013e-15,8.162031e-12,1.566888e-11,-0.872382,-0.9638961,-0.7814051
-1.309883e-15,8.162256e-12,1.567371e-11,-0.8687205,-0.9601189,-0.7778544
-1.309528e-15,8.162519e-12,1.568645e-11,-0.8650707,-0.9563545,-0.7743142
-1.309292e-15,8.162716e-12,1.568869e-11,-0.8614323,-0.9526025,-0.7707846
-1.308897e-15,8.163644e-12,1.56897e-11,-0.8578053,-0.9488629,-0.7672654
-1.307913e-15,8.166261e-12,1.569107e-11,-0.8541895,-0.9451356,-0.7637565
-1.307849e-15,8.16663e-12,1.569134e-11,-0.8505849,-0.9414204,-0.7602578
-1.307838e-15,8.167136e-12,1.569171e-11,-0.8469912,-0.9377172,-0.7567691
-1.307384e-15,8.167167e-12,1.569384e-11,-0.8434085,-0.9340258,-0.7532906
-1.307232e-15,8.167377e-12,1.569546e-11,-0.8398366,-0.9303462,-0.7498218
-1.307214e-15,8.167536e-12,1.569635e-11,-0.8362754,-0.9266783,-0.7463629
-1.306548e-15,8.167565e-12,1.570314e-11,-0.8327247,-0.9230218,-0.7429137
-1.306507e-15,8.168726e-12,1.570733e-11,-0.8291845,-0.9193767,-0.739474
-1.306321e-15,8.169076e-12,1.570808e-11,-0.8256547,-0.9157429,-0.7360439
-1.306126e-15,8.169248e-12,1.570881e-11,-0.8221351,-0.9121202,-0.7326232
-1.305795e-15,8.169282e-12,1.570891e-11,-0.8186257,-0.9085086,-0.7292117
-1.30574e-15,8.169484e-12,1.570932e-11,-0.8151263,-0.9049079,-0.7258096
-1.305435e-15,8.169703e-12,1.570956e-11,-0.8116369,-0.9013181,-0.7224165
-1.304072e-15,8.170907e-12,1.571135e-11,-0.8081574,-0.8977389,-0.7190325
-1.303752e-15,8.171203e-12,1.571214e-11,-0.8046876,-0.8941704,-0.7156574
-1.303471e-15,8.171944e-12,1.571321e-11,-0.8012274,-0.8906123,-0.7122912
-1.303468e-15,8.171995e-12,1.571336e-11,-0.7977768,-0.8870647,-0.7089338
-1.303432e-15,8.17214e-12,1.571542e-11,-0.7943357,-0.8835273,-0.7055851
-1.303145e-15,8.172295e-12,1.571657e-11,-0.790904,-0.8800001,-0.702245
-1.30212e-15,8.173312e-12,1.571789e-11,-0.7874816,-0.8764831,-0.6989134
-1.3019e-15,8.173457e-12,1.572047e-11,-0.7840684,-0.872976,-0.6955903
-1.301622e-15,8.173727e-12,1.572178e-11,-0.7806642,-0.8694788,-0.6922755
-1.300597e-15,8.174855e-12,1.572189e-11,-0.7772691,-0.8659914,-0.688969
-1.30045e-15,8.176415e-12,1.572254e-11,-0.773883,-0.8625137,-0.6856707
-1.300015e-15,8.177741e-12,1.572873e-11,-0.7705057,-0.8590456,-0.6823806
-1.299766e-15,8.180691e-12,1.572875e-11,-0.7671371,-0.855587,-0.6790985
-1.299406e-15,8.182072e-12,1.572893e-11,-0.7637772,-0.8521379,-0.6758244
-1.29934e-15,8.183064e-12,1.573167e-11,-0.760426,-0.8486981,-0.6725582
-1.299184e-15,8.185232e-12,1.573276e-11,-0.7570832,-0.8452675,-0.6692998
-1.298983e-15,8.186047e-12,1.573718e-11,-0.7537489,-0.8418461,-0.6660492
-1.298943e-15,8.187075e-12,1.57395e-11,-0.750423,-0.8384338,-0.6628063
-1.298921e-15,8.187769e-12,1.574023e-11,-0.7471053,-0.8350304,-0.6595709
-1.298697e-15,8.189295e-12,1.574165e-11,-0.7437958,-0.831636,-0.6563431
-1.298618e-15,8.189719e-12,1.57475e-11,-0.7404945,-0.8282503,-0.6531228
-1.298044e-15,8.190381e-12,1.575006e-11,-0.7372012,-0.8248735,-0.6499099
-1.297927e-15,8.190623e-12,1.575082e-11,-0.7339159,-0.8215052,-0.6467043
-1.29692e-15,8.191533e-12,1.575439e-11,-0.7306385,-0.8181455,-0.643506
-1.296341e-15,8.192821e-12,1.5757e-11,-0.7273689,-0.8147943,-0.6403148
-1.296226e-15,8.193081e-12,1.575809e-11,-0.7241071,-0.8114516,-0.6371308
-1.295894e-15,8.193144e-12,1.57604e-11,-0.7208529,-0.8081172,-0.6339539
