,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
69,-2.4502,-1.2897,1f,0.6,1,1.054714e-11,4.192074e-11,1.967705e-11,6.184974e-11,100.0
70,0.4527,0.724,1f,0.6,1,1.619368e-11,2.84215e-11,2.807517e-11,4.212679e-11,100.0
71,-0.7223,-0.2172,1f,0.6,1,1.322821e-11,3.393812e-11,2.437605e-11,4.825389e-11,100.0
72,-0.5204,-1.5757,1f,0.6,1,1.356602e-11,4.903217e-11,2.48825e-11,6.944673e-11,100.0
73,1.4914,1.8448,1f,0.6,1,1.933067e-11,2.445579e-11,3.109099e-11,3.841414e-11,100.0
74,-0.2509,1.7263,1f,0.6,1,1.434473e-11,2.481688e-11,2.509973e-11,3.875524e-11,100.0
75,-0.6471,0.4233,1f,0.6,1,1.396527e-11,3.004331e-11,2.147156e-11,4.428043e-11,100.0
76,-1.3806,-0.6952,1f,0.6,1,1.243892e-11,3.715666e-11,2.049818e-11,5.332337e-11,100.0
77,-0.9646,0.383,1f,0.6,1,1.285891e-11,3.070467e-11,2.374996e-11,4.856662e-11,100.0
78,0.667,1.6099,1f,0.6,1,1.642487e-11,2.51379e-11,2.801199e-11,3.930034e-11,100.0
79,-0.4127,0.7432,1f,0.6,1,1.396623e-11,2.821068e-11,2.501695e-11,4.202168e-11,100.0
80,1.0667,0.5062,1f,0.6,1,1.766296e-11,3.031631e-11,2.892379e-11,4.709014e-11,100.0
81,-0.6887,0.1982,1f,0.6,1,1.350607e-11,3.163135e-11,2.412833e-11,4.920144e-11,100.0
82,-0.9693,-1.3396,1f,0.6,1,1.258567e-11,4.738875e-11,2.339427e-11,6.808179e-11,100.0
83,-0.4554,-0.8909,1f,0.6,1,1.408798e-11,3.871462e-11,2.43773e-11,5.747188e-11,100.0
84,-1.3938,-0.6278,1f,0.6,1,1.252287e-11,3.714176e-11,2.056605e-11,5.720904e-11,100.0
85,-0.4497,1.4317,1f,0.6,1,1.41748e-11,2.578284e-11,2.435635e-11,4.00993e-11,100.0
86,-0.258,1.7744,1f,0.6,1,1.433951e-11,2.467931e-11,2.506857e-11,3.855625e-11,100.0
87,-0.05788,-0.6133,1f,0.6,1,1.493511e-11,3.649322e-11,2.41029e-11,5.223483e-11,100.0
