,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tplHa,tphLa,tplHb,tphLb,energy,temperature,finLength,finHeight
103,1.6757,0.8946,1e-15,0.6,1,2.141974e-11,5.926504e-11,2.200587e-11,5.761353e-11,-1.219981e-15,25.0,2.1e-08,3.2e-08
104,0.2014,1.0447,1e-15,0.6,1,2.091324e-11,3.625955e-11,2.065718e-11,3.640255e-11,-1.220152e-15,25.0,2.1e-08,3.2e-08
105,-1.7987,2.7742,1e-15,0.6,1,1.649552e-11,2.446482e-11,1.618063e-11,2.372624e-11,-1.260231e-15,25.0,2.1e-08,3.2e-08
106,0.656,-1.2719,1e-15,0.6,1,3.294224e-11,4.107849e-11,3.29461e-11,4.303462e-11,-1.21502e-15,25.0,2.1e-08,3.2e-08
107,-0.4937,0.4482,1e-15,0.6,1,2.28142e-11,3.05649e-11,2.28928e-11,3.248219e-11,-1.223159e-15,25.0,2.1e-08,3.2e-08
108,0.3209,1.4379,1e-15,0.6,1,1.941412e-11,3.743279e-11,1.93982e-11,3.932129e-11,-1.225197e-15,25.0,2.1e-08,3.2e-08
109,-0.5189,-0.378,1e-15,0.6,1,2.663319e-11,3.037511e-11,2.689103e-11,3.231946e-11,-1.221232e-15,25.0,2.1e-08,3.2e-08
110,0.5518,0.3415,1e-15,0.6,1,2.350678e-11,3.993755e-11,2.331154e-11,4.002312e-11,-1.226031e-15,25.0,2.1e-08,3.2e-08
111,0.29,-0.1841,1e-15,0.6,1,2.568013e-11,3.708389e-11,2.580784e-11,3.907212e-11,-1.231088e-15,25.0,2.1e-08,3.2e-08
112,0.8485,-0.7446,1e-15,0.6,1,2.967278e-11,4.349202e-11,2.928793e-11,4.424089e-11,-1.210332e-15,25.0,2.1e-08,3.2e-08
113,-1.2438,0.6697,1e-15,0.6,1,2.189148e-11,2.615718e-11,2.234145e-11,2.625038e-11,-1.221296e-15,25.0,2.1e-08,3.2e-08
114,0.6131,-1.1911,1e-15,0.6,1,3.210611e-11,4.058498e-11,3.230251e-11,4.327487e-11,-1.220235e-15,25.0,2.1e-08,3.2e-08
115,0.3824,0.9694,1e-15,0.6,1,2.120596e-11,3.805651e-11,2.091472e-11,3.947935e-11,-1.230968e-15,25.0,2.1e-08,3.2e-08
116,-1.8849,0.6073,1e-15,0.6,1,2.208988e-11,2.420428e-11,2.257353e-11,2.333093e-11,-1.222142e-15,25.0,2.1e-08,3.2e-08
117,0.8013,0.2451,1e-15,0.6,1,2.350402e-11,4.290643e-11,2.371534e-11,4.367676e-11,-1.227633e-15,25.0,2.1e-08,3.2e-08
118,-1.3209,0.8362,1e-15,0.6,1,2.149613e-11,2.586197e-11,2.182214e-11,2.579748e-11,-1.218142e-15,25.0,2.1e-08,3.2e-08
119,-2.4502,-1.2897,1e-15,0.6,1,3.29881e-11,2.273823e-11,3.324911e-11,2.118912e-11,-1.244906e-15,25.0,2.1e-08,3.2e-08
120,0.0,0.0,1e-15,0.6,1,2.464429e-11,3.245103e-11,2.427327e-11,3.243565e-11,-1.213504e-15,-25.0,2.1e-08,3.2e-08
121,-0.8014,-0.8294,1e-15,0.6,1,2.951069e-11,2.681525e-11,2.97019e-11,2.697249e-11,-1.214895e-15,-25.0,2.1e-08,3.2e-08
122,-0.2677,0.215,1e-15,0.6,1,2.325936e-11,3.027347e-11,2.368264e-11,3.040391e-11,-1.218148e-15,-25.0,2.1e-08,3.2e-08
123,1.6757,0.8946,1e-15,0.6,1,2.071213e-11,5.762378e-11,2.065953e-11,5.440233e-11,-1.226138e-15,-25.0,2.1e-08,3.2e-08
124,0.2014,1.0447,1e-15,0.6,1,2.020033e-11,3.409595e-11,2.0249e-11,3.418696e-11,-1.222597e-15,-25.0,2.1e-08,3.2e-08
125,-1.7987,2.7742,1e-15,0.6,1,1.572059e-11,2.332403e-11,1.569442e-11,2.233029e-11,-1.242522e-15,-25.0,2.1e-08,3.2e-08
126,0.656,-1.2719,1e-15,0.6,1,3.212458e-11,3.862666e-11,3.245671e-11,4.024063e-11,-1.220068e-15,-25.0,2.1e-08,3.2e-08
127,-0.4937,0.4482,1e-15,0.6,1,2.206608e-11,2.874839e-11,2.274929e-11,2.888063e-11,-1.219225e-15,-25.0,2.1e-08,3.2e-08
128,0.3209,1.4379,1e-15,0.6,1,1.892408e-11,3.51951e-11,1.90038e-11,3.530809e-11,-1.228951e-15,-25.0,2.1e-08,3.2e-08
129,-0.5189,-0.378,1e-15,0.6,1,2.61101e-11,2.856647e-11,2.671722e-11,2.870133e-11,-1.221481e-15,-25.0,2.1e-08,3.2e-08
130,0.5518,0.3415,1e-15,0.6,1,2.262915e-11,3.747602e-11,2.268973e-11,4.07076e-11,-1.226493e-15,-25.0,2.1e-08,3.2e-08
131,0.29,-0.1841,1e-15,0.6,1,2.533958e-11,3.486628e-11,2.519094e-11,3.497013e-11,-1.20942e-15,-25.0,2.1e-08,3.2e-08
132,0.8485,-0.7446,1e-15,0.6,1,2.826051e-11,4.090613e-11,2.877407e-11,4.101268e-11,-1.22014e-15,-25.0,2.1e-08,3.2e-08
133,-1.2438,0.6697,1e-15,0.6,1,2.118046e-11,2.48308e-11,2.187939e-11,2.471193e-11,-1.230335e-15,-25.0,2.1e-08,3.2e-08
134,0.6131,-1.1911,1e-15,0.6,1,3.196029e-11,3.813053e-11,3.18105e-11,4.097612e-11,-1.224249e-15,-25.0,2.1e-08,3.2e-08
135,0.3824,0.9694,1e-15,0.6,1,2.019383e-11,3.577214e-11,2.034613e-11,3.59229e-11,-1.220048e-15,-25.0,2.1e-08,3.2e-08
136,-1.8849,0.6073,1e-15,0.6,1,2.14867e-11,2.309308e-11,2.226712e-11,2.197404e-11,-1.225968e-15,-25.0,2.1e-08,3.2e-08
137,0.8013,0.2451,1e-15,0.6,1,2.408725e-11,4.03573e-11,2.433882e-11,4.187181e-11,-1.207981e-15,-25.0,2.1e-08,3.2e-08
138,-1.3209,0.8362,1e-15,0.6,1,2.06108e-11,2.459751e-11,2.122392e-11,2.425513e-11,-1.216822e-15,-25.0,2.1e-08,3.2e-08
139,-2.4502,-1.2897,1e-15,0.6,1,3.240288e-11,2.005287e-11,3.295137e-11,2.10236e-11,-1.234093e-15,-25.0,2.1e-08,3.2e-08
140,0.0,0.0,1e-15,0.6,2,1.323892e-11,1.923285e-11,1.349131e-11,2.044202e-11,-1.25364e-15,75.0,2.1e-08,3.2e-08
141,-0.8014,-0.8294,1e-15,0.6,2,1.597538e-11,1.595509e-11,1.628203e-11,1.640441e-11,-1.243128e-15,75.0,2.1e-08,3.2e-08
142,-0.2677,0.215,1e-15,0.6,2,1.280007e-11,1.799982e-11,1.303978e-11,1.81477e-11,-1.263372e-15,75.0,2.1e-08,3.2e-08
143,1.6757,0.8946,1e-15,0.6,2,1.124076e-11,3.230767e-11,1.142635e-11,3.248391e-11,-1.274212e-15,75.0,2.1e-08,3.2e-08
