,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,temper
122,-0.2677,0.215,1f,0.6,1,2.890712e-11,1.232889e-11,-25.0
123,1.6757,0.8946,1f,0.6,1,2.795688e-11,1.383598e-11,-25.0
124,0.2014,1.0447,1f,0.6,1,2.775282e-11,1.264665e-11,-25.0
125,-1.7987,2.7742,1f,0.6,1,2.611613e-11,1.244117e-11,-25.0
126,0.656,-1.2719,1f,0.6,1,3.231891e-11,1.301163e-11,-25.0
127,-0.4937,0.4482,1f,0.6,1,2.856655e-11,1.219749e-11,-25.0
128,0.3209,1.4379,1f,0.6,1,2.712346e-11,1.274364e-11,-25.0
129,-0.5189,-0.378,1f,0.6,1,3.041392e-11,1.218253e-11,-25.0
130,0.5518,0.3415,1f,0.6,1,2.894146e-11,1.292913e-11,-25.0
131,0.29,-0.1841,1f,0.6,1,3.021143e-11,1.271727e-11,-25.0
132,0.8485,-0.7446,1f,0.6,1,3.124596e-11,1.316743e-11,-25.0
133,-1.2438,0.6697,1f,0.6,1,3.140317e-11,1.28143e-11,-25.0
134,0.6131,-1.1911,1f,0.6,1,3.214861e-11,1.297712e-11,-25.0
135,0.3824,0.9694,1f,0.6,1,2.785583e-11,1.279292e-11,-25.0
136,-1.8849,0.6073,1f,0.6,1,2.947027e-11,1.237721e-11,-25.0
137,0.8013,0.2451,1f,0.6,1,2.942455e-11,1.313026e-11,-25.0
138,-1.3209,0.8362,1f,0.6,1,3.166265e-11,1.27625e-11,-25.0
139,-2.4502,-1.2897,1f,0.6,1,3.583045e-11,1.198053e-11,-25.0
140,0.0,0.0,1f,0.6,2,1.611284e-11,8.324341e-12,50.0
141,-0.8014,-0.8294,1f,0.6,2,1.842977e-11,8.021701e-12,50.0
142,-0.2677,0.215,1f,0.6,2,1.597842e-11,8.221835e-12,50.0
143,1.6757,0.8946,1f,0.6,2,1.540822e-11,9.023442e-12,50.0
144,0.2014,1.0447,1f,0.6,2,1.520082e-11,8.403808e-12,50.0
145,-1.7987,2.7742,1f,0.6,2,1.455507e-11,7.666696e-12,50.0
146,0.656,-1.2719,1f,0.6,2,1.86565e-11,8.584549e-12,50.0
147,-0.4937,0.4482,1f,0.6,2,1.580127e-11,8.13686e-12,50.0
148,0.3209,1.4379,1f,0.6,2,1.702609e-11,8.451396e-12,50.0
149,-0.5189,-0.378,1f,0.6,2,1.799189e-11,8.126708e-12,50.0
150,0.5518,0.3415,1f,0.6,2,1.569234e-11,8.543413e-12,50.0
151,0.29,-0.1841,1f,0.6,2,1.627027e-11,8.437925e-12,50.0
152,0.8485,-0.7446,1f,0.6,2,1.820401e-11,8.664568e-12,50.0
153,-1.2438,0.6697,1f,0.6,2,1.549602e-11,7.862432e-12,50.0
154,0.6131,-1.1911,1f,0.6,2,1.858711e-11,8.567083e-12,50.0
155,0.3824,0.9694,1f,0.6,2,1.521655e-11,8.475615e-12,50.0
156,-1.8849,0.6073,1f,0.6,2,1.631509e-11,7.633673e-12,50.0
157,0.8013,0.2451,1f,0.6,2,1.580538e-11,8.645734e-12,50.0
158,-1.3209,0.8362,1f,0.6,2,1.536821e-11,7.834912e-12,50.0
159,-2.4502,-1.2897,1f,0.6,2,1.861104e-11,7.430914e-12,50.0
160,0.0,0.0,1f,0.6,2,1.836644e-11,8.810848e-12,100.0
161,-0.8014,-0.8294,1f,0.6,2,1.905475e-11,8.48049e-12,100.0
162,-0.2677,0.215,1f,0.6,2,1.817402e-11,8.698533e-12,100.0
163,1.6757,0.8946,1f,0.6,2,1.782063e-11,9.579766e-12,100.0
164,0.2014,1.0447,1f,0.6,2,1.59763e-11,8.898164e-12,100.0
165,-1.7987,2.7742,1f,0.6,2,1.472064e-11,8.102811e-12,100.0
166,0.656,-1.2719,1f,0.6,2,1.935303e-11,9.096743e-12,100.0
167,-0.4937,0.4482,1f,0.6,2,1.673831e-11,8.605727e-12,100.0
168,0.3209,1.4379,1f,0.6,2,1.564252e-11,8.950483e-12,100.0
169,-0.5189,-0.378,1f,0.6,2,1.873278e-11,8.594604e-12,100.0
170,0.5518,0.3415,1f,0.6,2,1.678901e-11,9.051574e-12,100.0
171,0.29,-0.1841,1f,0.6,2,1.853929e-11,8.935574e-12,100.0
172,0.8485,-0.7446,1f,0.6,2,1.918212e-11,9.184787e-12,100.0
173,-1.2438,0.6697,1f,0.6,2,1.646535e-11,8.309324e-12,100.0
174,0.6131,-1.1911,1f,0.6,2,1.93017e-11,9.077535e-12,100.0
175,0.3824,0.9694,1f,0.6,2,1.603726e-11,8.977069e-12,100.0
176,-1.8849,0.6073,1f,0.6,2,1.669665e-11,8.068241e-12,100.0
177,0.8013,0.2451,1f,0.6,2,1.832314e-11,9.164111e-12,100.0
178,-1.3209,0.8362,1f,0.6,2,1.628786e-11,8.280006e-12,100.0
179,-2.4502,-1.2897,1f,0.6,2,1.930931e-11,7.859721e-12,100.0
180,0.0,0.0,1f,0.6,2,1.878387e-11,9.092638e-12,125.0
